NAMA_PROV,NAMA_KAB,NAMA_KEC_X,NAMA_DESA_X,R601IK2,R601IK3,R601IK4,R601IK5,R601IK6,R601IK7,R601IK8,ID_UNIK_PODES,TARGET,KEY_JOIN,NAMA_DESA_Y,KABUPATEN,NAMA_KEC_Y,RAIN_MAX_2024_MM,RAIN_MEAN_2024_MM,RAIN_MEDIAN_2024_MM,UNNAMED:_6,UNNAMED:_7,ID_UNIK_SAT,LST_MAX_2024_C,LST_MEAN_2024_C,LST_MEDIAN_2024_C,NDVI_MAX_2024,NDVI_MEAN_2024,NDVI_MEDIAN_2024
RIAU,INDRAGIRI HULU,LIRIK,SEKO LUBUK TIGO,2,0,0,,0,0,,SEKO LUBUK TIGO LIRIK,0,SEKO LUBUK TIGO LIRIK,Seko Lubuk Tigo,Seko Lubuk Tigo,Lirik,4.098.987.682.103.230,8.085.045.747.651.380,60.875.411.895.808.200,,,SEKO LUBUK TIGO LIRIK,32.47373090399445,28.694417820395536,29.01672880168189,0.8536097827610374,0.6420386709728533,0.7401421023125441
RIAU,INDRAGIRI HULU,LIRIK,BANJAR BALAM,2,0,0,,0,0,,BANJAR BALAM LIRIK,0,BANJAR BALAM LIRIK,Banjar Balam,Banjar Balam,Lirik,4.658.863.981.912.480,7.991.629.607.316.070,6.075.914.095.280.000,,,BANJAR BALAM LIRIK,31.58199221822098,28.35323220144264,28.54967424148352,0.8629475185231177,0.6324062592570591,0.7175845275052773
RIAU,INDRAGIRI HULU,LIRIK,REDANG SEKO,2,0,0,,0,0,,REDANG SEKO LIRIK,0,REDANG SEKO LIRIK,Redang Seko,Redang Seko,Lirik,4.693.989.189.310.560,7.987.086.733.535.170,6.040.705.755.802.920,,,REDANG SEKO LIRIK,31.056304393087657,27.893141971653773,28.26888507183013,0.8676354917065722,0.6221461521633521,0.7245830661392189
RIAU,INDRAGIRI HULU,LIRIK,SUKAJADI,2,0,0,,0,0,,SUKAJADI LIRIK,0,SUKAJADI LIRIK,Sukajadi,Sukajadi,Lirik,4.215.217.590.332.030,8.220.749.855.041.500,6.061.884.880.065.910,,,SUKAJADI LIRIK,32.27629787234044,29.31308083151143,29.28412765957451,0.8062395744680853,0.6023635707678077,0.7022719148936171
RIAU,INDRAGIRI HULU,LIRIK,MEKAR SARI,2,0,0,,0,0,,MEKAR SARI LIRIK,0,MEKAR SARI LIRIK,Mekar Sari,Mekar Sari,Lirik,4.417.475.046.137.320,8.122.934.765.285.910,6.203.408.425.854.090,,,MEKAR SARI LIRIK,31.37091862772898,28.43728137905461,28.61441876949252,0.8586469946129855,0.6845737644999447,0.7674997590019845
RIAU,INDRAGIRI HULU,LIRIK,PASIR SIALANG JAYA,2,0,0,,0,0,,PASIR SIALANG JAYA LIRIK,0,PASIR SIALANG JAYA LIRIK,Pasir Sialang Jaya,Pasir Sialang Jaya,Lirik,4.478.530.737.694.270,7.982.467.235.402.850,5.032.305.169.612.800,,,PASIR SIALANG JAYA LIRIK,33.150900487525114,28.561361290863232,28.88622024663036,0.7683439346142817,0.5035172928018353,0.5183619443647834
RIAU,INDRAGIRI HULU,SUNGAI LALA,KELAWAT,2,0,0,,0,0,,KELAWAT SUNGAI LALA,0,KELAWAT SUNGAI LALA,Kelawat,Kelawat,Sungai Lala,4.381.771.526.541.760,8.085.956.029.994.510,5.189.754.445.065.730,,,KELAWAT SUNGAI LALA,31.8711602209945,27.84220414074983,28.41596685082876,0.8335263351749539,0.5843684682520618,0.6113383977900554
RIAU,INDRAGIRI HULU,SUNGAI LALA,PERKEBUNAN  SUNGAI LALA,2,0,0,,0,0,,PERKEBUNAN  SUNGAI LALA SUNGAI LALA,0,PERKEBUNAN SUNGAI LALA SUNGAI LALA,Perkebunan Sungai Lala,Perkebunan Sungai Lala,Sungai Lala,42.344.790.251.358.600,7.854.408.167.410.580,4.750.568.742.337.430,,,PERKEBUNAN SUNGAI LALA SUNGAI LALA,32.65691973341063,28.29933485547901,28.53057954216172,0.8472016516951607,0.595036979829413,0.648760909881194
RIAU,INDRAGIRI HULU,SUNGAI LALA,KUALA LALA,2,0,0,,0,0,,KUALA LALA SUNGAI LALA,0,KUALA LALA SUNGAI LALA,Kuala Lala,Kuala Lala,Sungai Lala,4.191.008.879.717.650,818.878.266.951.617,517.399.938.246.783,,,KUALA LALA SUNGAI LALA,36.30476908118623,28.06976460054284,28.252095284394784,0.7507227515799711,0.4772305172158695,0.4963826446280993
RIAU,INDRAGIRI HULU,SUNGAI LALA,PASIR BATU MANDI,2,0,0,,0,0,,PASIR BATU MANDI SUNGAI LALA,0,PASIR BATU MANDI SUNGAI LALA,Pasir Batu Mandi,Pasir Batu Mandi,Sungai Lala,39.571.664.810.180.600,816.209.582.744.106,5.343.571.555.229.920,,,PASIR BATU MANDI SUNGAI LALA,37.20179673321237,28.14847721473544,28.22331397459168,0.8258173502722322,0.5652767726662985,0.6116436297640654
